sample,threshold,window,inference,horizon,beta_VRP,beta_deltaVRP,R2,N,t_VRP,t_deltaVRP,se_deltaVRP
FULL_1990_end,0.9,756,Hodrick,3,0.3210919442165313,0.2220821315321468,0.0254525171853902,399,1.019546066191625,0.7734158834260275,
FULL_1990_end,0.9,756,Hodrick,6,0.3594928094273804,0.305466827649382,0.0163820013869947,396,1.0544306451154022,0.7753331142687703,
FULL_1990_end,0.95,756,Hodrick,1,0.0647939261551207,0.0622548091832778,0.0064212624980909,401,0.4954526525664281,0.2997973045203429,
FULL_1990_end,0.95,756,Hodrick,3,0.2951478762128859,0.2838204406880826,0.0260002370348542,399,1.212932020049664,1.453361379721985,
FULL_1990_end,0.95,756,Hodrick,6,0.236659997497006,0.1798376928251114,0.0127119565363857,396,0.9756002720008304,0.4565552897219688,
POST_2008_full,0.85,252,HAC,1,-0.0848761263010592,-0.220931542726174,0.0162420185012298,220,-0.5223609635338249,-0.9463196785446948,0.2334639633257287
POST_2008_full,0.85,252,HAC,3,-0.0022818143760942,-0.3045499742173734,0.0332964231718534,218,-0.0086764391848362,-1.096421045285474,0.2777673554579373
POST_2008_full,0.85,252,HAC,6,-0.091531786486442,-0.4465504078959223,0.0410872229284793,215,-0.387816704929869,-1.097033957760863,0.407052493440922
POST_2008_full,0.9,252,HAC,1,0.0512442353462542,0.0346116944659901,0.0057404360246312,220,0.2652290889317754,0.1290467307919553,0.268210548640631
POST_2008_full,0.9,252,HAC,3,0.6884981423170441,0.7588571846812425,0.0648900836228212,218,2.7577279669378596,3.548253937838562,0.2138677777790348
POST_2008_full,0.9,252,HAC,6,0.7834809057360523,0.9180032803505468,0.0596317348750298,215,3.233324248899918,2.438143875258068,0.3765172718748518
POST_2008_full,0.95,252,HAC,1,-0.070233814002504,-0.2368650100758909,0.0140595897770534,220,-0.4341469649043719,-1.050597926604043,0.2254573363204079
POST_2008_full,0.95,252,HAC,3,0.3831096120535279,0.5657363311565019,0.0433444132819711,218,1.385755684297859,1.8112993306564011,0.3123372937765528
POST_2008_full,0.95,252,HAC,6,0.3413707775848715,0.5068950037315234,0.0404180882184077,215,1.293616586523821,1.023340670497931,0.4953335857206588
POST_2008_full,0.85,504,HAC,1,-0.0817646189841903,-0.1410148555765788,0.0145163016434546,220,-0.4710687210023192,-1.0577755217918725,0.133312647789107
POST_2008_full,0.85,504,HAC,3,0.100544701828548,-0.06611582619136,0.0268781429558621,218,0.2805715688587563,-0.2408709957680845,0.2744864568709539
POST_2008_full,0.85,504,HAC,6,0.2267985182818929,0.1208319397739211,0.0352886629392639,215,0.5460532745257258,0.3107969564687067,0.388780962165205
POST_2008_full,0.9,504,HAC,1,0.0550591013949919,0.0462958800902352,0.0059276878726842,220,0.2921729674762308,0.1618569381542295,0.2860296297346306
POST_2008_full,0.9,504,HAC,3,0.2613226662505792,0.1796588782123582,0.028385114998752,218,0.8475573806113459,0.5421386904269861,0.3313891470665185
POST_2008_full,0.9,504,HAC,6,0.2380498488740149,0.1704825642660461,0.0351333600382006,215,0.7389236467547767,0.3512704933030117,0.4853312974368873
POST_2008_full,0.95,504,HAC,1,0.0681021333139452,0.0591301178848077,0.0060149851395393,220,0.2971761066251981,0.1934028886359696,0.3057354432596127
POST_2008_full,0.95,504,HAC,3,0.63445438203758,0.6904170968070223,0.0502798023880324,218,2.3114226467180217,1.8750167151388264,0.3682191690519963
POST_2008_full,0.95,504,HAC,6,0.7180212263898521,0.8350511537941149,0.0500457654982253,215,2.425004315948996,1.506972608186944,0.5541249716534492
POST_2008_full,0.85,756,HAC,1,0.0513171214474196,0.028411867607293,0.0066334277847225,220,0.3533432443359856,0.4639995196096254,0.0612325366870997
POST_2008_full,0.85,756,HAC,3,0.2399959913659257,0.1023797265206363,0.0313035565463571,218,0.8223720885470284,0.8306294008302119,0.1232556016176504
POST_2008_full,0.85,756,HAC,6,0.2679102151182574,0.1549952690823913,0.0394973299540244,215,0.8028346095225579,0.8551892262155663,0.181240904739043
POST_2008_full,0.9,756,HAC,1,0.0498000631081534,0.033409318429478,0.0059880614426903,220,0.2855352587142424,0.1920686148349961,0.1739447043869169
POST_2008_full,0.9,756,HAC,3,0.2182351855970577,0.0968203910182131,0.0275895610531787,218,0.6893314668013056,0.3296102755464906,0.293742028696423
POST_2008_full,0.9,756,HAC,6,0.2176302748736999,0.1214955835822583,0.0352392521037634,215,0.5977403191829911,0.2875250577806381,0.4225565052314542
POST_2008_full,0.95,756,HAC,1,0.0262499640423619,-0.0011246281721742,0.0055120823024165,220,0.1765945781455093,-0.0049223261840141,0.2284749385009411
POST_2008_full,0.95,756,HAC,3,0.2488618956446117,0.2202432512678586,0.0312604060346733,218,1.0407425486843824,0.8516248531908496,0.2586153403610239
POST_2008_full,0.95,756,HAC,6,0.1547595083413291,0.0474268588177095,0.0343508178864225,215,0.6225012213682706,0.1179576765388986,0.4020667429988725
POST_2008_full,0.85,252,Hodrick,1,-0.0848761263010592,-0.220931542726174,0.0162420185012298,220,-0.5223609635338233,-0.9463196785446946,
POST_2008_full,0.85,252,Hodrick,3,-0.0022818143760942,-0.3045499742173734,0.0332964231718534,218,-0.008088338325963,-1.632410470734182,
POST_2008_full,0.85,252,Hodrick,6,-0.091531786486442,-0.4465504078959223,0.0410872229284793,215,-0.4515130616626996,-1.3168785190448258,
POST_2008_full,0.9,252,Hodrick,1,0.0512442353462542,0.0346116944659901,0.0057404360246312,220,0.2652290889317834,0.1290467307919576,
POST_2008_full,0.9,252,Hodrick,3,0.6884981423170441,0.7588571846812425,0.0648900836228212,218,2.499407850751324,,
POST_2008_full,0.9,252,Hodrick,6,0.7834809057360523,0.9180032803505468,0.0596317348750298,215,3.0015519996760855,2.258286973909595,
POST_2008_full,0.95,252,Hodrick,1,-0.070233814002504,-0.2368650100758909,0.0140595897770534,220,-0.4341469649043665,-1.050597926604036,
POST_2008_full,0.95,252,Hodrick,3,0.3831096120535279,0.5657363311565019,0.0433444132819711,218,1.3510428382396094,4.923112036929602,
POST_2008_full,0.95,252,Hodrick,6,0.3413707775848715,0.5068950037315234,0.0404180882184077,215,1.2620552551834872,0.9562565715189848,
POST_2008_full,0.85,504,Hodrick,1,-0.0817646189841903,-0.1410148555765788,0.0145163016434546,220,-0.4710687210023274,-1.057775521791884,
POST_2008_full,0.85,504,Hodrick,3,0.100544701828548,-0.06611582619136,0.0268781429558621,218,0.2498882396808328,-0.2162480304007877,
POST_2008_full,0.85,504,Hodrick,6,0.2267985182818929,0.1208319397739211,0.0352886629392639,215,0.5309163907259274,0.2954387087781168,
POST_2008_full,0.9,504,Hodrick,1,0.0550591013949919,0.0462958800902352,0.0059276878726842,220,0.2921729674762444,0.1618569381542347,
POST_2008_full,0.9,504,Hodrick,3,0.2613226662505792,0.1796588782123582,0.028385114998752,218,0.7592577302529614,0.5800745422858725,
POST_2008_full,0.9,504,Hodrick,6,0.2380498488740149,0.1704825642660461,0.0351333600382006,215,0.7712854894467279,0.3694242354792251,
